num_suppressed_records,num_records,max_group_size,avg_group_size,k,l,t,perc_recs,c_avg,bagging_acc,random_forest_acc,boosting_acc,bagging_auc,random_forest_auc,boosting_auc
0,32561,45,2.1573577154972505,1,1,0.7591904425539756,1.0,2.1573577154972505,0.8653031140593329,0.8642589521528161,0.865794484368282,0.7782946516895658,0.7775213010932982,0.7922653335566475
6741,25820,1067,60.468384074941454,2,2,0.6012191425588522,0.7929731887841283,30.234192037470727,0.8603279896812235,0.8569498188071986,0.8618635218966894,0.76614790043954,0.7413975762890588,0.7764021272551747
7118,25443,1067,88.34375,5,2,0.6039168542129123,0.7813949203034305,17.66875,0.8605122535470794,0.8568269762299613,0.8599594619495117,0.7626766831831295,0.7552355556224661,0.7727311505005435
7585,24976,1067,115.09677419354838,10,2,0.6058302927331978,0.7670526089493566,11.509677419354839,0.8598366193722744,0.8583010871568085,0.8645046373072907,0.7565772281072184,0.745784224613858,0.7888168554486449
5990,26571,1399,184.52083333333334,20,2,0.5051645505523794,0.8160375909830779,9.226041666666667,0.8527731711811314,0.837847798046803,0.8634604754007739,0.7211531163297195,0.6706148728458186,0.7798720585735371
5061,27500,2150,264.4230769230769,25,2,0.6120723092998954,0.8445686557538159,10.576923076923077,0.8579325594250967,0.8562127633437749,0.8617406793194521,0.7504817563028213,0.7430701739529172,0.7536930886161863
