,num_suppressed_records,num_records,max_group_size,avg_group_size,k,l,t,perc_recs,c_avg,bagging_acc,random_forest_acc,boosting_acc,bagging_auc,random_forest_auc,boosting_auc,bagging_prec,random_forest_prec,boosting_prec,bagging_recl,random_forest_recl,boosting_recl,bagging_f1,random_forest_f1,boosting_f1
"k: 2, clustering: kmeans,  embedding: average_word_embeddings_glove.840B.300d",1520,31041,1416,68.07236842105263,2,2,0.7056427673997985,0.9533183870274254,34.036184210526315,0.8368036361402862,0.8303544008353295,0.8419630243842516,0.6799884830133857,0.6816032761937739,0.7047375212258189,0.8387464387464387,0.7723618090452261,0.7964601769911505,0.3827353094123765,0.3996359854394176,0.44461778471138846,0.5256204249241208,0.5267306374228924,0.5706657767395295
"k: 2, clustering: agglomerative,  embedding: BERT",2312,30249,2021,69.21967963386727,2,2,0.7360451839475939,0.9289948097417156,34.609839816933636,0.833978256863829,0.8281432344450587,0.841041705054972,0.6884654179894577,0.6920986320755605,0.6993751909304358,0.7813884785819794,0.7286212914485166,0.8059338521400778,0.4126365054602184,0.4342173686947478,0.43083723348933955,0.5400714650331803,0.5441511893124797,0.5615045747204338
"k: 2, clustering: agglomerative,  embedding: word2vec",2220,30341,1416,60.20039682539682,2,2,0.7024880681648751,0.9318202757900556,30.10019841269841,0.835145261347583,0.8320741969166513,0.8379706406240403,0.6750416048005008,0.6791372861187065,0.7035606683615958,0.8425707547169812,0.7954303931987248,0.7691622103386809,0.3715548621944878,0.38923556942277693,0.44877795111804475,0.5156983038614219,0.522695530726257,0.5668308702791461
"k: 2, clustering: agglomerative,  embedding: average_word_embeddings_glove.6B.300d",1906,30655,1420,61.55622489959839,2,2,0.7050592369626785,0.94146371425939,30.778112449799195,0.8366807935630489,0.8301701369694736,0.8380934832012775,0.6783815309186553,0.678160192752704,0.6936737179981771,0.8444573418456182,0.7816571130797291,0.7995049504950495,0.3783151326053042,0.39001560062402496,0.4199167966718669,0.5225354641766924,0.5203816131830009,0.5506307534947154
"k: 2, clustering: agglomerative,  embedding: msmarco-bert-base-dot-v5",2249,30312,1416,67.51002227171492,2,2,0.635741006708526,0.9309296397530789,33.75501113585746,0.8311528775873718,0.8228610036238561,0.8315828266077022,0.6497993936645282,0.6379058467525673,0.6856401180052027,0.9363564041368337,0.8854166666666666,0.7703232125367288,0.30603224128965156,0.2873114924596984,0.4089963598543942,0.4612972761120909,0.4338437377306636,0.5343070652173914
"k: 2, clustering: agglomerative,  embedding: multi-qa-mpnet-base-dot-v1",2265,30296,1529,70.95081967213115,2,2,0.6374554012810042,0.9304382543533676,35.47540983606557,0.8305386647011854,0.8268533873840673,0.8355752103679135,0.6499360794697168,0.6505766020749395,0.6801720585108084,0.924941360437842,0.8649609097370291,0.8252643294379521,0.3075923036921477,0.3164326573062923,0.38559542381695266,0.4616585365853659,0.46335427374833427,0.5256069466595783
"k: 2, clustering: agglomerative,  embedding: text-embedding-3-large",1948,30613,1446,64.99575371549894,2,2,0.6499101688825009,0.9401738275851479,32.49787685774947,0.8357594742337694,0.8291259750629568,0.8384620109329893,0.676341656802581,0.6603255806951216,0.6825108661765047,0.8434935521688159,0.8423423423423423,0.8454545454545455,0.37415496619864796,0.3403536141445658,0.3868954758190328,0.5183717579250721,0.48481481481481475,0.5308597930788441
"k: 2, clustering: agglomerative,  embedding: text-embedding-3-small",1602,30959,1509,73.36255924170617,2,2,0.726762839441476,0.950800036853905,36.68127962085308,0.835820895522388,0.8277747067133469,0.8327498310914563,0.6732390019364345,0.655130767353734,0.6721265087032914,0.8587155963302753,0.852027027027027,0.829325513196481,0.36505460218408736,0.327873114924597,0.3676547061882475,0.5123152709359605,0.47352609838527976,0.5094577553593947
"k: 2, clustering: agglomerative,  embedding: mistral-embed",1909,30652,1441,64.66666666666667,2,2,0.7047738246354976,0.9413715794969442,32.333333333333336,0.8356366316565321,0.8309686137215159,0.8379706406240403,0.6804816559369251,0.666740027864082,0.6948504454050297,0.8246392896781354,0.8335365853658536,0.7946341463414635,0.38637545501820075,0.35543421736869474,0.4235569422776911,0.5262039660056658,0.4983594604447684,0.5525780189959295
"k: 2, clustering: agglomerative,  embedding: jinaai-jina-embeddings-v2-base-en",1837,30724,1714,62.19433198380567,2,2,0.7355592721300312,0.9435828137956451,31.097165991902834,0.8357594742337694,0.8296787666605245,0.8363736871199557,0.6708640939123692,0.6688589087592454,0.6811437572098783,0.8699494949494949,0.8106543138390272,0.8294314381270903,0.3582943317732709,0.3640145605824233,0.3868954758190328,0.5075506445672192,0.5024223936838328,0.5276595744680851
"k: 2, clustering: agglomerative,  embedding: fasttext",2066,30495,1835,61.1122244488978,2,2,0.7338529645465208,0.9365498602622769,30.5561122244489,0.8367422148516676,0.831275720164609,0.8323198820711258,0.6787809244577261,0.6751125195791909,0.6925879471849562,0.8433526011560694,0.802421574023115,0.7566697332106715,0.3793551742069683,0.3790951638065523,0.42771710868434737,0.5233142037302726,0.5149214197421861,0.5465116279069767
"k: 2, clustering: agglomerative,  embedding: average_word_embeddings_komninos",1657,30904,1431,67.32897603485839,2,2,0.704451881710489,0.9491108995423974,33.66448801742919,0.8365579509858116,0.831459984030465,0.838523432221608,0.6814439766975481,0.6760413118575406,0.6970082494493991,0.83008356545961,0.800764192139738,0.7924074963959635,0.3874154966198648,0.38143525741029644,0.42875715028601147,0.5282751285233115,0.5167312433955619,0.5564366458579383
"k: 2, clustering: agglomerative,  embedding: average_word_embeddings_levy_dependency",2204,30357,1445,58.83139534883721,2,2,0.7364353931801308,0.9323116611897669,29.415697674418606,0.834653891038634,0.8296173453719059,0.8379706406240403,0.678132184394734,0.6713329908347118,0.6934137075977611,0.8241573033707865,0.8004484304932735,0.7993062438057482,0.38143525741029644,0.3712948517940718,0.41939677587103485,0.5215072875933168,0.5072824156305507,0.5501364256480219
"k: 2, clustering: agglomerative,  embedding: average_word_embeddings_glove.840B.300d",1474,31087,1423,65.86228813559322,2,2,0.7074968490190288,0.9547311200515954,32.93114406779661,0.835820895522388,0.8303544008353295,0.835145261347583,0.6771900309064233,0.6629256846992818,0.7035967687199648,0.8403946604759142,0.8443456162642948,0.7491423670668954,0.3764950598023921,0.3455538221528861,0.4542381695267811,0.520021547854193,0.49040590405904066,0.5655551958562642
"k: 5, clustering: kmeans,  embedding: BERT",2709,29852,2021,106.23487544483986,5,2,0.7397406693534256,0.9168023095113786,21.24697508896797,0.8347153123272526,0.8218168417173393,0.8306000859898041,0.6847275097276508,0.7060061147922395,0.7056498785886297,0.8,0.6689309974973185,0.7160444797458301,0.4004160166406656,0.48647945917836716,0.46879875195007803,0.5337029977473574,0.5632997139846454,0.566624764299183
"k: 5, clustering: kmeans,  embedding: word2vec",1559,31002,1416,88.83094555873926,5,2,0.706912918060586,0.9521206351156292,17.766189111747853,0.8365579509858116,0.8316442478963209,0.8396290154167434,0.678660297195965,0.6789456186208848,0.7007850808604118,0.8418926716676284,0.7921734531993654,0.7897700610042234,0.3793551742069683,0.38949557982319294,0.437597503900156,0.5230328015773437,0.5222241589681017,0.5631587753053371
"k: 5, clustering: kmeans,  embedding: average_word_embeddings_glove.6B.300d",1962,30599,1416,98.70645161290322,5,2,0.7104122605936392,0.9397438653604004,19.741290322580646,0.835145261347583,0.8299244518149991,0.8376635341809471,0.6800701871259409,0.6817707931477693,0.7054249335232758,0.8213495575221239,0.7683109118086696,0.7620915032679738,0.3861154446177847,0.40093603744149764,0.4547581903276131,0.5252918287937742,0.5269092772936956,0.5696140693698094
"k: 5, clustering: kmeans,  embedding: msmarco-bert-base-dot-v5",1756,30805,1416,91.95522388059702,5,2,0.6847048639290159,0.9460704523816836,18.391044776119404,0.8309686137215159,0.8260549106320251,0.8330569375345495,0.6507563197582186,0.6484375539074638,0.6877724855676978,0.92601246105919,0.8663294797687862,0.7759295499021527,0.3091523660946438,0.31175247009880397,0.4123764950598024,0.4635477582846004,0.458508604206501,0.5385398981324279
"k: 5, clustering: kmeans,  embedding: multi-qa-mpnet-base-dot-v1",1416,31145,1299,84.86376021798365,5,2,0.7100948711480097,0.956512392125549,16.97275204359673,0.8371107425833794,0.8299244518149991,0.8419630243842516,0.6786629945294314,0.6780891525166435,0.7037497639833217,0.8479020979020979,0.7797402597402597,0.7995294117647059,0.3783151326053042,0.39027561102444097,0.4417576703068123,0.52319309600863,0.5201871426095998,0.5690839055434601
"k: 5, clustering: kmeans,  embedding: text-embedding-3-large",1416,31145,1390,94.09365558912387,5,2,0.7100948711480097,0.956512392125549,18.818731117824772,0.8373564277378539,0.8318285117621768,0.8417787605183957,0.6796319958950348,0.6808621681417317,0.7027311755920176,0.846242774566474,0.7873443983402489,0.8012333965844403,0.38065522620904835,0.39469578783151327,0.4391575663026521,0.5251076040172166,0.5258053342570143,0.5673496808867988
